Sale_ID,Date,Units,Store_Name,Store_City,Store_Location,Product_Name,Product_Category,Product_Cost,Product_Price,Stock_On_Hand
1,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
66,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
98,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
128,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
146,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
258,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
271,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
302,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
394,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
703,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
987,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
1047,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
1056,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
1157,1/1/2022,1,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Chutes & Ladders,Games,9.99,12.99,1
1210,1/2/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Action Figure,Toys,9.99,15.99,27
1249,1/2/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Action Figure,Toys,9.99,15.99,27
1272,1/2/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Action Figure,Toys,9.99,15.99,27
1275,1/2/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Action Figure,Toys,9.99,15.99,27
1591,1/2/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Action Figure,Toys,9.99,15.99,27
2,1/1/2022,1,Maven Toys Puebla 2,Puebla,Downtown,Action Figure,Toys,9.99,15.99,6
171,1/1/2022,1,Maven Toys Puebla 2,Puebla,Downtown,Action Figure,Toys,9.99,15.99,6
364,1/1/2022,1,Maven Toys Puebla 2,Puebla,Downtown,Action Figure,Toys,9.99,15.99,6
437,1/1/2022,1,Maven Toys Puebla 2,Puebla,Downtown,Action Figure,Toys,9.99,15.99,6
686,1/1/2022,1,Maven Toys Puebla 2,Puebla,Downtown,Action Figure,Toys,9.99,15.99,6
1041,1/1/2022,1,Maven Toys Puebla 2,Puebla,Downtown,Action Figure,Toys,9.99,15.99,6
6,1/1/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Splash Balls,Sports & Outdoors,7.99,8.99,7
87,1/1/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Splash Balls,Sports & Outdoors,7.99,8.99,7
420,1/1/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Splash Balls,Sports & Outdoors,7.99,8.99,7
637,1/1/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Splash Balls,Sports & Outdoors,7.99,8.99,7
745,1/1/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Splash Balls,Sports & Outdoors,7.99,8.99,7
753,1/1/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Splash Balls,Sports & Outdoors,7.99,8.99,7
760,1/1/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Splash Balls,Sports & Outdoors,7.99,8.99,7
784,1/1/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Splash Balls,Sports & Outdoors,7.99,8.99,7
1095,1/1/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Splash Balls,Sports & Outdoors,7.99,8.99,7
15,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
21,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
33,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
65,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
262,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
333,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
442,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
506,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
528,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
569,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
591,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
700,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
797,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
814,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
920,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
977,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
996,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
1092,1/1/2022,1,Maven Toys La Paz 1,La Paz,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,31
27,1/1/2022,1,Maven Toys Villahermosa 1,Villahermosa,Downtown,Splash Balls,Sports & Outdoors,7.99,8.99,30
8,1/1/2022,1,Maven Toys Puebla 1,Puebla,Commercial,Animal Figures,Toys,9.99,12.99,14
181,1/1/2022,1,Maven Toys Puebla 1,Puebla,Commercial,Animal Figures,Toys,9.99,12.99,14
294,1/1/2022,1,Maven Toys Puebla 1,Puebla,Commercial,Animal Figures,Toys,9.99,12.99,14
410,1/1/2022,1,Maven Toys Puebla 1,Puebla,Commercial,Animal Figures,Toys,9.99,12.99,14
477,1/1/2022,1,Maven Toys Puebla 1,Puebla,Commercial,Animal Figures,Toys,9.99,12.99,14
478,1/1/2022,1,Maven Toys Puebla 1,Puebla,Commercial,Animal Figures,Toys,9.99,12.99,14
573,1/1/2022,1,Maven Toys Puebla 1,Puebla,Commercial,Animal Figures,Toys,9.99,12.99,14
844,1/1/2022,1,Maven Toys Puebla 1,Puebla,Commercial,Animal Figures,Toys,9.99,12.99,14
852,1/1/2022,1,Maven Toys Puebla 1,Puebla,Commercial,Animal Figures,Toys,9.99,12.99,14
3,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
11,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
18,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
138,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
198,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
240,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
313,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
418,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
466,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
476,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
735,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
824,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
845,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
903,1/1/2022,1,Maven Toys Mexicali 1,Mexicali,Commercial,Deck Of Cards,Games,3.99,6.99,50
1243,1/2/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Dinosaur Figures,Toys,10.99,14.99,22
1535,1/2/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Dinosaur Figures,Toys,10.99,14.99,22
1566,1/2/2022,1,Maven Toys Guadalajara 1,Guadalajara,Residential,Dinosaur Figures,Toys,10.99,14.99,22
23,1/1/2022,1,Maven Toys Guadalajara 2,Guadalajara,Commercial,Deck Of Cards,Games,3.99,6.99,44
408,1/1/2022,1,Maven Toys Guadalajara 2,Guadalajara,Commercial,Deck Of Cards,Games,3.99,6.99,44
945,1/1/2022,1,Maven Toys Guadalajara 2,Guadalajara,Commercial,Deck Of Cards,Games,3.99,6.99,44
1018,1/1/2022,1,Maven Toys Guadalajara 2,Guadalajara,Commercial,Deck Of Cards,Games,3.99,6.99,44
1148,1/1/2022,1,Maven Toys Guadalajara 2,Guadalajara,Commercial,Deck Of Cards,Games,3.99,6.99,44
1162,1/1/2022,1,Maven Toys Guadalajara 2,Guadalajara,Commercial,Deck Of Cards,Games,3.99,6.99,44
17,1/1/2022,1,Maven Toys Pachuca 1,Pachuca,Downtown,Deck Of Cards,Games,3.99,6.99,42
19,1/1/2022,1,Maven Toys Pachuca 1,Pachuca,Downtown,Deck Of Cards,Games,3.99,6.99,42
53,1/1/2022,1,Maven Toys Pachuca 1,Pachuca,Downtown,Deck Of Cards,Games,3.99,6.99,42
